id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '02:06:00'}",-3.75,-0.3,0.12,3.76,184.64,1.79,3.46,376.2,98027.0
"{'date': '2019-11-05', 'time': '02:07:00'}",-3.56,-0.2,0.26,3.58,183.15,4.14,3.54,378.2,100768.0
"{'date': '2019-11-05', 'time': '02:08:00'}",-4.49,-0.33,0.04,4.51,184.2,0.55,4.17,387.2,154721.0
"{'date': '2019-11-05', 'time': '02:09:00'}",-4.48,-0.43,0.14,4.5,185.5,1.77,3.17,384.9,124490.0
"{'date': '2019-11-05', 'time': '02:10:00'}",-4.45,-0.56,0.31,4.5,187.12,3.93,3.06,370.8,55556.0
"{'date': '2019-11-05', 'time': '02:11:00'}",-4.46,-0.55,0.29,4.5,187.0,3.64,3.23,382.0,100390.0
"{'date': '2019-11-05', 'time': '02:12:00'}",-3.94,-0.53,0.21,3.98,187.69,3.07,3.27,387.0,120478.0
"{'date': '2019-11-05', 'time': '02:13:00'}",-3.41,-0.53,0.53,3.49,188.8,8.68,3.18,374.4,83788.0
"{'date': '2019-11-05', 'time': '02:14:00'}",-2.72,0.15,-0.21,2.73,176.92,-4.36,3.85,377.0,116172.0
"{'date': '2019-11-05', 'time': '02:15:00'}",-2.69,-0.21,-0.63,2.77,184.37,-13.06,4.18,377.8,111288.0
"{'date': '2019-11-05', 'time': '02:16:00'}",-3.63,0.08,-0.77,3.71,178.68,-11.94,3.16,371.3,71383.0
"{'date': '2019-11-05', 'time': '02:17:00'}",-2.74,0.08,-0.42,2.78,178.42,-8.75,3.21,371.1,84561.0
"{'date': '2019-11-05', 'time': '02:18:00'}",-2.58,-0.01,-0.41,2.62,180.19,-8.99,4.28,374.0,102490.0
"{'date': '2019-11-05', 'time': '02:19:00'}",-2.71,0.32,-1.07,2.93,173.24,-21.42,3.45,368.2,64873.0
"{'date': '2019-11-05', 'time': '02:20:00'}",-2.66,0.18,-0.66,2.75,176.12,-13.98,3.42,360.9,56197.0
"{'date': '2019-11-05', 'time': '02:21:00'}",-2.54,0.12,-0.12,2.55,177.28,-2.59,4.26,374.4,101896.0
"{'date': '2019-11-05', 'time': '02:22:00'}",-2.53,-0.02,0.44,2.57,180.38,9.96,4.42,376.9,100754.0
"{'date': '2019-11-05', 'time': '02:23:00'}",-2.49,0.14,0.47,2.53,176.83,10.6,3.88,372.6,80957.0
"{'date': '2019-11-05', 'time': '02:24:00'}",-2.63,0.38,0.04,2.66,171.7,0.81,999999999.0,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '02:25:00'}",-2.8,0.32,-0.77,2.92,173.47,-15.29,4.38,373.6,83193.0
"{'date': '2019-11-05', 'time': '02:26:00'}",-2.75,0.11,-0.81,2.87,177.65,-16.33,4.92,374.5,96741.0
"{'date': '2019-11-05', 'time': '02:27:00'}",-2.74,-0.04,-0.79,2.85,180.85,-16.07,4.62,371.7,74306.0
"{'date': '2019-11-05', 'time': '02:28:00'}",-2.7,-0.98,-0.17,2.88,199.87,-3.41,4.28,368.9,70174.0
"{'date': '2019-11-05', 'time': '02:29:00'}",-1.83,0.39,-0.84,2.05,167.97,-24.13,4.86,372.4,73447.0
"{'date': '2019-11-05', 'time': '02:30:00'}",-0.2,1.38,-1.52,2.07,98.04,-47.51,4.78,373.7,66403.0
"{'date': '2019-11-05', 'time': '02:31:00'}",-0.55,0.82,-1.98,2.22,123.77,-63.52,5.57,381.1,76483.0
"{'date': '2019-11-05', 'time': '02:32:00'}",-0.66,1.06,-1.66,2.08,122.05,-52.94,5.56,381.0,76787.0
"{'date': '2019-11-05', 'time': '02:33:00'}",-1.44,1.19,-1.13,2.18,140.35,-31.06,4.04,370.7,51888.0
"{'date': '2019-11-05', 'time': '02:34:00'}",-1.16,1.0,-1.73,2.31,139.16,-48.44,3.94,370.1,46781.0
"{'date': '2019-11-05', 'time': '02:35:00'}",-1.61,1.03,-1.5,2.43,147.41,-38.07,5.61,379.7,72987.0
"{'date': '2019-11-05', 'time': '02:36:00'}",-1.73,1.28,-0.95,2.36,143.53,-23.8,5.71,380.4,72520.0
"{'date': '2019-11-05', 'time': '02:37:00'}",-1.09,0.8,-1.91,2.34,143.79,-54.61,3.96,367.3,36921.0
"{'date': '2019-11-05', 'time': '02:38:00'}",-1.14,1.73,-0.83,2.24,123.29,-21.88,5.38,381.7,93160.0
"{'date': '2019-11-05', 'time': '02:39:00'}",-0.8,1.66,-0.55,1.92,115.89,-16.54,4.83,379.6,64213.0
"{'date': '2019-11-05', 'time': '02:40:00'}",-1.77,1.71,-0.51,2.52,136.0,-11.71,4.75,366.0,43742.0
"{'date': '2019-11-05', 'time': '02:41:00'}",-1.63,0.98,-1.8,2.62,148.91,-43.39,5.69,377.8,107375.0
"{'date': '2019-11-05', 'time': '02:42:00'}",-1.69,-0.04,-1.65,2.36,181.42,-44.4,5.3,380.4,94791.0
"{'date': '2019-11-05', 'time': '02:43:00'}",-0.04,1.76,-0.7,1.9,91.34,-21.57,5.85,378.6,86150.0
"{'date': '2019-11-05', 'time': '02:44:00'}",-2.2,1.52,-0.29,2.69,145.43,-6.09,6.57,382.6,103505.0
"{'date': '2019-11-05', 'time': '02:45:00'}",-2.62,0.37,-1.26,2.93,171.9,-25.54,6.14,377.6,103260.0
"{'date': '2019-11-05', 'time': '02:46:00'}",-2.64,-0.32,-1.43,3.02,186.86,-28.23,4.64,367.3,66141.0
"{'date': '2019-11-05', 'time': '02:47:00'}",-2.69,-0.12,-0.88,2.84,182.63,-18.04,4.94,369.1,67175.0
"{'date': '2019-11-05', 'time': '02:48:00'}",-2.93,0.47,-0.58,3.02,170.98,-11.03,5.68,374.4,90752.0
"{'date': '2019-11-05', 'time': '02:49:00'}",-2.93,0.39,-0.45,2.99,172.5,-8.72,4.72,367.6,71653.0
"{'date': '2019-11-05', 'time': '02:50:00'}",-3.07,0.1,-0.21,3.08,178.19,-3.95,4.22,363.6,59973.0
"{'date': '2019-11-05', 'time': '02:51:00'}",-3.03,-0.27,-0.22,3.05,185.14,-4.12,5.56,373.7,101447.0
"{'date': '2019-11-05', 'time': '02:52:00'}",-2.61,0.07,1.15,2.85,178.38,23.66,5.23,370.3,87525.0
"{'date': '2019-11-05', 'time': '02:53:00'}",-3.08,-0.13,0.55,3.13,182.48,10.02,3.31,365.5,60658.0
"{'date': '2019-11-05', 'time': '02:54:00'}",-3.4,-0.26,0.08,3.41,184.35,1.38,4.92,376.7,111923.0
"{'date': '2019-11-05', 'time': '02:55:00'}",-3.98,-0.37,-0.23,4.01,185.25,-3.36,4.47,362.9,50533.0
"{'date': '2019-11-05', 'time': '02:56:00'}",-3.87,0.06,0.59,3.92,179.11,8.65,3.32,358.8,43738.0
"{'date': '2019-11-05', 'time': '02:57:00'}",-3.61,-0.02,1.05,3.76,180.35,16.24,3.32,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '02:58:00'}",-3.65,-0.02,1.11,3.82,180.25,16.89,4.17,357.5,55409.0
"{'date': '2019-11-05', 'time': '02:59:00'}",-3.63,0.04,1.09,3.79,179.4,16.68,4.25,357.1,51649.0
"{'date': '2019-11-05', 'time': '03:00:00'}",-3.6,0.06,1.08,3.76,178.98,16.76,4.27,356.7,49723.0
"{'date': '2019-11-05', 'time': '03:01:00'}",-3.68,0.16,0.96,3.8,177.51,14.63,4.46,358.4,47759.0
"{'date': '2019-11-05', 'time': '03:02:00'}",-3.75,0.31,0.74,3.84,175.32,11.19,4.42,360.4,48067.0
"{'date': '2019-11-05', 'time': '03:03:00'}",-3.76,0.31,0.73,3.84,175.35,10.93,4.33,359.6,47856.0
"{'date': '2019-11-05', 'time': '03:04:00'}",-3.77,0.3,0.82,3.87,175.45,12.21,4.36,360.8,53839.0
"{'date': '2019-11-05', 'time': '03:05:00'}",-3.7,0.24,1.02,3.85,176.33,15.34,4.37,360.3,54183.0
"{'date': '2019-11-05', 'time': '03:06:00'}",-3.73,0.2,1.02,3.87,176.97,15.23,3.83,352.6,35646.0
"{'date': '2019-11-05', 'time': '03:07:00'}",-3.87,0.15,1.32,4.09,177.72,18.82,2.99,351.3,35666.0
"{'date': '2019-11-05', 'time': '03:08:00'}",-4.28,1.19,-0.09,4.45,164.53,-1.19,3.2,364.2,73040.0
"{'date': '2019-11-05', 'time': '03:09:00'}",-3.54,1.34,-0.55,3.82,159.33,-8.32,3.86,361.7,55197.0
"{'date': '2019-11-05', 'time': '03:10:00'}",-2.97,1.16,-0.28,3.2,158.6,-4.96,4.08,364.6,57355.0
"{'date': '2019-11-05', 'time': '03:11:00'}",-2.65,0.93,-0.03,2.81,160.76,-0.62,4.95,371.4,70855.0
"{'date': '2019-11-05', 'time': '03:12:00'}",-2.61,1.08,-0.08,2.83,157.53,-1.55,5.25,378.2,93039.0
"{'date': '2019-11-05', 'time': '03:13:00'}",-2.65,1.26,-0.07,2.94,154.66,-1.31,3.15,359.2,30175.0
"{'date': '2019-11-05', 'time': '03:14:00'}",-2.57,1.42,-0.17,2.94,151.12,-3.25,5.07,374.2,98023.0
"{'date': '2019-11-05', 'time': '03:15:00'}",-2.06,1.86,-0.47,2.81,138.02,-9.62,5.14,372.8,74876.0
"{'date': '2019-11-05', 'time': '03:16:00'}",-1.47,2.4,-0.54,2.86,121.44,-10.81,4.71,364.7,45608.0
"{'date': '2019-11-05', 'time': '03:17:00'}",-2.32,2.37,-0.13,3.32,134.31,-2.2,5.56,377.5,85899.0
"{'date': '2019-11-05', 'time': '03:18:00'}",-3.24,2.45,0.08,4.06,142.96,1.06,5.62,383.6,99406.0
"{'date': '2019-11-05', 'time': '03:19:00'}",-3.34,2.47,0.16,4.15,143.55,2.27,4.96,378.1,85227.0
"{'date': '2019-11-05', 'time': '03:20:00'}",-4.49,2.2,0.58,5.03,153.92,6.64,4.45,382.2,95526.0
"{'date': '2019-11-05', 'time': '03:21:00'}",-4.87,1.65,0.74,5.19,161.28,8.14,4.38,390.3,99134.0
"{'date': '2019-11-05', 'time': '03:22:00'}",-5.05,-0.15,1.35,5.23,181.73,14.92,4.06,385.0,68815.0
"{'date': '2019-11-05', 'time': '03:23:00'}",-4.87,-1.28,1.73,5.33,194.68,19.0,3.64,379.7,62048.0
"{'date': '2019-11-05', 'time': '03:24:00'}",-4.93,-1.17,1.77,5.36,193.33,19.32,4.64,388.4,90096.0
"{'date': '2019-11-05', 'time': '03:25:00'}",-5.1,-0.96,1.69,5.46,190.66,18.07,4.37,390.5,93170.0
"{'date': '2019-11-05', 'time': '03:26:00'}",-5.15,-0.36,1.52,5.38,183.99,16.42,4.01,383.0,67110.0
"{'date': '2019-11-05', 'time': '03:27:00'}",-5.3,0.16,1.16,5.42,178.28,12.3,4.81,396.8,122438.0
"{'date': '2019-11-05', 'time': '03:28:00'}",-5.27,-0.09,1.26,5.42,180.98,13.41,4.35,388.2,79935.0
"{'date': '2019-11-05', 'time': '03:29:00'}",-5.3,-0.63,1.5,5.54,186.81,15.73,4.09,390.6,89543.0
